dataset,model,base_models,fold,correct,total,accuracy
Banknote Authentication,NBC,1,1,240,275,0.8727272727272727
Banknote Authentication,Bagging NBC (10),10,1,240,275,0.8727272727272727
Banknote Authentication,Bagging NBC (20),20,1,241,275,0.8763636363636363
Banknote Authentication,Bagging NBC (30),30,1,243,275,0.8836363636363637
Banknote Authentication,NBC,1,2,249,275,0.9054545454545454
Banknote Authentication,Bagging NBC (10),10,2,253,275,0.92
Banknote Authentication,Bagging NBC (20),20,2,251,275,0.9127272727272727
Banknote Authentication,Bagging NBC (30),30,2,252,275,0.9163636363636364
Banknote Authentication,NBC,1,3,252,274,0.9197080291970803
Banknote Authentication,Bagging NBC (10),10,3,248,274,0.9051094890510949
Banknote Authentication,Bagging NBC (20),20,3,250,274,0.9124087591240876
Banknote Authentication,Bagging NBC (30),30,3,248,274,0.9051094890510949
Banknote Authentication,NBC,1,4,256,274,0.9343065693430657
Banknote Authentication,Bagging NBC (10),10,4,257,274,0.9379562043795621
Banknote Authentication,Bagging NBC (20),20,4,259,274,0.9452554744525548
Banknote Authentication,Bagging NBC (30),30,4,259,274,0.9452554744525548
Banknote Authentication,NBC,1,5,235,274,0.8576642335766423
Banknote Authentication,Bagging NBC (10),10,5,232,274,0.8467153284671532
Banknote Authentication,Bagging NBC (20),20,5,233,274,0.8503649635036497
Banknote Authentication,Bagging NBC (30),30,5,234,274,0.8540145985401459
Glass Identification,NBC,1,1,28,43,0.6511627906976745
Glass Identification,Bagging NBC (10),10,1,23,43,0.5348837209302325
Glass Identification,Bagging NBC (20),20,1,27,43,0.627906976744186
Glass Identification,Bagging NBC (30),30,1,24,43,0.5581395348837209
Glass Identification,NBC,1,2,20,43,0.46511627906976744
Glass Identification,Bagging NBC (10),10,2,20,43,0.46511627906976744
Glass Identification,Bagging NBC (20),20,2,24,43,0.5581395348837209
Glass Identification,Bagging NBC (30),30,2,22,43,0.5116279069767442
Glass Identification,NBC,1,3,31,43,0.7209302325581395
Glass Identification,Bagging NBC (10),10,3,33,43,0.7674418604651163
Glass Identification,Bagging NBC (20),20,3,32,43,0.7441860465116279
Glass Identification,Bagging NBC (30),30,3,34,43,0.7906976744186046
Glass Identification,NBC,1,4,24,43,0.5581395348837209
Glass Identification,Bagging NBC (10),10,4,26,43,0.6046511627906976
Glass Identification,Bagging NBC (20),20,4,26,43,0.6046511627906976
Glass Identification,Bagging NBC (30),30,4,28,43,0.6511627906976745
Glass Identification,NBC,1,5,26,42,0.6190476190476191
Glass Identification,Bagging NBC (10),10,5,30,42,0.7142857142857143
Glass Identification,Bagging NBC (20),20,5,25,42,0.5952380952380952
Glass Identification,Bagging NBC (30),30,5,30,42,0.7142857142857143
Image Segmentation,NBC,1,1,32,42,0.7619047619047619
Image Segmentation,Bagging NBC (10),10,1,33,42,0.7857142857142857
Image Segmentation,Bagging NBC (20),20,1,34,42,0.8095238095238095
Image Segmentation,Bagging NBC (30),30,1,31,42,0.7380952380952381
Image Segmentation,NBC,1,2,30,42,0.7142857142857143
Image Segmentation,Bagging NBC (10),10,2,29,42,0.6904761904761905
Image Segmentation,Bagging NBC (20),20,2,29,42,0.6904761904761905
Image Segmentation,Bagging NBC (30),30,2,33,42,0.7857142857142857
Image Segmentation,NBC,1,3,35,42,0.8333333333333334
Image Segmentation,Bagging NBC (10),10,3,33,42,0.7857142857142857
Image Segmentation,Bagging NBC (20),20,3,34,42,0.8095238095238095
Image Segmentation,Bagging NBC (30),30,3,34,42,0.8095238095238095
Image Segmentation,NBC,1,4,36,42,0.8571428571428571
Image Segmentation,Bagging NBC (10),10,4,36,42,0.8571428571428571
Image Segmentation,Bagging NBC (20),20,4,36,42,0.8571428571428571
Image Segmentation,Bagging NBC (30),30,4,36,42,0.8571428571428571
Image Segmentation,NBC,1,5,35,42,0.8333333333333334
Image Segmentation,Bagging NBC (10),10,5,35,42,0.8333333333333334
Image Segmentation,Bagging NBC (20),20,5,35,42,0.8333333333333334
Image Segmentation,Bagging NBC (30),30,5,34,42,0.8095238095238095
